date,description,amount,category
2024-08-01,Netflix Subscription,15.99,Entertainment
2024-08-03,Starbucks,5.67,Food & Drink
2024-08-05,Spotify Premium,10.99,Entertainment
2024-08-07,Whole Foods,87.43,Groceries
2024-08-10,Uber Ride,18.32,Transportation
2024-08-12,Planet Fitness,22.99,Health & Fitness
2024-08-15,Amazon Prime,14.99,Shopping
2024-08-18,Adobe Creative Cloud,54.99,Software
2024-08-20,Chipotle,12.45,Food & Drink
2024-08-22,Shell Gas Station,52.00,Transportation
2024-08-25,ChatGPT Plus,20.00,Software
2024-08-28,Target,63.21,Shopping
2024-09-01,Netflix Subscription,15.99,Entertainment
2024-09-04,Starbucks,8.95,Food & Drink
2024-09-05,Spotify Premium,10.99,Entertainment
2024-09-08,Kroger,72.15,Groceries
2024-09-11,Lyft Ride,14.56,Transportation
2024-09-12,Planet Fitness,22.99,Health & Fitness
2024-09-15,Amazon Prime,14.99,Shopping
2024-09-18,Adobe Creative Cloud,54.99,Software
2024-09-21,Panera Bread,15.87,Food & Drink
2024-09-23,BP Gas Station,48.50,Transportation
2024-09-25,ChatGPT Plus,20.00,Software
2024-09-28,Best Buy,124.99,Shopping
2024-10-01,Netflix Subscription,15.99,Entertainment
2024-10-03,Starbucks,4.23,Food & Drink
2024-10-05,Spotify Premium,10.99,Entertainment
2024-10-07,Whole Foods,91.32,Groceries
2024-10-10,Uber Ride,22.45,Transportation
2024-10-12,Planet Fitness,22.99,Health & Fitness
2024-10-15,Amazon Prime,14.99,Shopping
2024-10-18,Adobe Creative Cloud,54.99,Software
2024-10-20,Five Guys,18.43,Food & Drink
2024-10-23,Shell Gas Station,55.00,Transportation
2024-10-25,ChatGPT Plus,20.00,Software
2024-10-28,Walmart,43.76,Shopping
2024-11-01,Netflix Subscription,15.99,Entertainment
2024-11-04,Starbucks,11.87,Food & Drink
2024-11-05,Spotify Premium,10.99,Entertainment
2024-11-08,Kroger,68.54,Groceries
2024-11-11,Lyft Ride,16.23,Transportation
2024-11-12,Planet Fitness,22.99,Health & Fitness
2024-11-15,Amazon Prime,14.99,Shopping
2024-11-18,Adobe Creative Cloud,54.99,Software
2024-11-20,Chipotle,13.21,Food & Drink
2024-11-22,BP Gas Station,51.25,Transportation
2024-11-25,ChatGPT Plus,20.00,Software
2024-11-28,Target,72.33,Shopping
2024-12-01,Netflix Subscription,15.99,Entertainment
2024-12-05,Spotify Premium,10.99,Entertainment
